,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
3d,4f,3d-3D2,4f-3D1,5,3,4432.9,0.014134,7.77E-03,6.18E+04,3.40E+04,Ar(3d'[3/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(3d'[3/2]2),O,1857.67,2255.86
3d,4f,3d-3P2,4f-3D2,5,5,6340.09,0.653991,0.73543,3.51E+06,3.94E+06,Ar(3d[3/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d[3/2]2),O,1242.28,1577.27
3d,4f,3d-3P2,4f-1D2,5,5,6385.65,0.187009,0.213455,1.02E+06,1.16E+06,Ar(3d[3/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d[3/2]2),O,1235.92,1566.01
3d,4f,3d-3P2,4f-3F2,5,5,7825.22,0.023155,0.039667,1.89E+05,3.24E+05,Ar(3d[3/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d[3/2]2),O,1050.9,1277.92
3d,4f,3d-3F2,4f-3D2,5,5,5761.27,2.88E-03,2.66E-03,1.28E+04,1.18E+04,Ar(3d[5/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d[5/2]2),O,1478.71,1735.73
3d,4f,3d-3F2,4f-1D2,5,5,5806.83,0.661336,0.624343,2.97E+06,2.81E+06,Ar(3d[5/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d[5/2]2),O,1469.7,1722.11
3d,4f,3d-3F2,4f-3F2,5,5,7246.41,0.018419,0.027082,1.29E+05,1.90E+05,Ar(3d[5/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d[5/2]2),O,1215.27,1379.99
3d,4f,3d-1D2,4f-3D2,5,5,4560.73,2.71E-04,1.57E-04,7.53E+02,4.36E+02,Ar(3d'[5/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d'[5/2]2),O,1802.57,2192.63
3d,4f,3d-1D2,4f-1D2,5,5,4606.29,0.084836,0.050397,2.40E+05,1.43E+05,Ar(3d'[5/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d'[5/2]2),O,1789.21,2170.94
3d,4f,3d-1D2,4f-3F2,5,5,6045.87,0.167079,0.171011,8.15E+05,8.34E+05,Ar(3d'[5/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d'[5/2]2),O,1425.8,1654.02
3d,4f,3d-3D2,4f-3D2,5,5,4433.38,0.128723,0.070779,3.38E+05,1.86E+05,Ar(3d'[3/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d'[3/2]2),O,1857.53,2255.62
3d,4f,3d-3D2,4f-1D2,5,5,4478.94,0.029722,0.016691,7.95E+04,4.47E+04,Ar(3d'[3/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d'[3/2]2),O,1843.34,2232.67
3d,4f,3d-3D2,4f-3F2,5,5,5918.52,0.263617,0.258351,1.23E+06,1.21E+06,Ar(3d'[3/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d'[3/2]2),O,1459.97,1689.61
3d,4f,3d-3P2,4f-3D3,5,7,6385.29,2.72965,3.11343,1.06E+07,1.21E+07,Ar(3d[3/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(3d[3/2]2),O,1235.97,1566.1
3d,4f,3d-3P2,4f-1F3,5,7,6407.87,1.33E-05,1.31E-05,52.1344,51.3745,Ar(3d[3/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(3d[3/2]2),O,1232.9,1560.58
3d,4f,3d-3P2,4f-3G3,5,7,7824.14,6.22E-07,1.23E-06,3.62786,7.15164,Ar(3d[3/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(3d[3/2]2),O,1051.05,1278.1
3d,4f,3d-3P2,4f-3F3,5,7,7824.84,0.324077,0.555055,1.89E+06,3.24E+06,Ar(3d[3/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(3d[3/2]2),O,1050.94,1277.98
3d,4f,3d-3F2,4f-3D3,5,7,5806.47,0.045623,0.042947,1.47E+05,1.38E+05,Ar(3d[5/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(3d[5/2]2),O,1469.77,1722.22
3d,4f,3d-3F2,4f-1F3,5,7,5829.06,0.33706,0.32059,1.09E+06,1.04E+06,Ar(3d[5/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(3d[5/2]2),O,1465.44,1715.54
3d,4f,3d-3F2,4f-3G3,5,7,7245.32,0.252278,0.370757,1.26E+06,1.85E+06,Ar(3d[5/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(3d[5/2]2),O,1215.47,1380.2
3d,4f,3d-3F2,4f-3F3,5,7,7246.03,1.49E-03,2.19E-03,7.75E+03,1.09632E+04,Ar(3d[5/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(3d[5/2]2),O,1215.32,1380.07
3d,4f,3d-1D2,4f-3D3,5,7,4605.93,5.45E-03,3.23E-03,1.10E+04,6.52E+03,Ar(3d'[5/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(3d'[5/2]2),O,1789.31,2171.11
3d,4f,3d-1D2,4f-1F3,5,7,4628.52,0.331561,0.198834,6.77E+05,4.06E+05,Ar(3d'[5/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(3d'[5/2]2),O,1782.89,2160.52
3d,4f,3d-1D2,4f-3G3,5,7,6044.78,0.378497,0.387182,1.32E+06,1.35E+06,Ar(3d'[5/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(3d'[5/2]2),O,1426.08,1654.32
3d,4f,3d-1D2,4f-3F3,5,7,6045.49,0.014343,0.014636,5.00E+04,5.10E+04,Ar(3d'[5/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(3d'[5/2]2),O,1425.87,1654.13
3d,4f,3d-3D2,4f-3D3,5,7,4478.58,0.436511,0.244935,8.34E+05,4.68E+05,Ar(3d'[3/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(3d'[3/2]2),O,1843.45,2232.85
3d,4f,3d-3D2,4f-1F3,5,7,4501.17,3.55E-06,1.76E-06,6.85536,3.39364,Ar(3d'[3/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(3d'[3/2]2),O,1836.63,2221.64
3d,4f,3d-3D2,4f-3G3,5,7,5917.43,1.16E-04,1.17E-04,3.88E+02,3.92E+02,Ar(3d'[3/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(3d'[3/2]2),O,1460.26,1689.92
3d,4f,3d-3D2,4f-3F3,5,7,5918.14,3.659779,3.58563,1.22E+07,1.20E+07,Ar(3d'[3/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(3d'[3/2]2),O,1460.05,1689.72
3d,4f,3d-3F3,4f-3D2,7,5,6115.36,3.73E-03,3.91E-03,1.86E+04,1.95E+04,Ar(3d[7/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d[7/2]3),O,1395.04,1635.23
3d,4f,3d-3F3,4f-1D2,7,5,6160.92,0.046675,0.049601,2.36E+05,2.51E+05,Ar(3d[7/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d[7/2]3),O,1387.02,1623.13
3d,4f,3d-3F3,4f-3F2,7,5,7600.5,4.16E-04,6.72E-04,3.21E+03,5.18E+03,Ar(3d[7/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d[7/2]3),O,1158.18,1315.7
3d,4f,3d-1F3,4f-3D2,7,5,5654.04,0.055269,0.049423,2.36E+05,2.11E+05,Ar(3d[5/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d[5/2]3),O,1545.1,1768.65
3d,4f,3d-1F3,4f-1D2,7,5,5699.6,0.027659,0.025134,1.20E+05,1.09E+05,Ar(3d[5/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d[5/2]3),O,1535.27,1754.51
3d,4f,3d-1F3,4f-3F2,7,5,7139.17,5.18E-04,8.37E-04,3.99E+03,5.69E+03,Ar(3d[5/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d[5/2]3),O,1259.76,1400.72
3d,4f,3d-3D3,4f-3D2,7,5,4465.79,3.69E-03,2.06E-03,9.81E+03,5.47E+03,Ar(3d'[5/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d'[5/2]3),O,1863.35,2239.25
3d,4f,3d-3D3,4f-1D2,7,5,4511.35,5.82E-03,3.32E-03,1.58E+04,9.00E+03,Ar(3d'[5/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d'[5/2]3),O,1849.07,2216.63
3d,4f,3d-3D3,4f-3F2,7,5,5950.93,0.012658,0.012539,5.98E+04,5.92E+04,Ar(3d'[5/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d'[5/2]3),O,1463.56,1680.41
3d,4f,3d-3F3,4f-3D3,7,7,6160.56,0.043016,0.045715,1.56E+05,1.65E+05,Ar(3d[7/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(3d[7/2]3),O,1387.08,1623.23
3d,4f,3d-3F3,4f-1F3,7,7,6183.15,0.692961,0.741714,2.52E+06,2.70E+06,Ar(3d[7/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(3d[7/2]3),O,1383.22,1617.3
3d,4f,3d-3F3,4f-3G3,7,7,7599.41,1.84E-03,2.98E-03,1.01E+04,1.64E+04,Ar(3d[7/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(3d[7/2]3),O,1158.36,1315.89
3d,4f,3d-3F3,4f-3F3,7,7,7600.12,5.10E-03,8.24E-03,2.81E+04,4.54E+04,Ar(3d[7/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(3d[7/2]3),O,1158.23,1315.77
3d,4f,3d-1F3,4f-3D3,7,7,5699.24,0.956972,0.869486,2.96E+06,2.69E+06,Ar(3d[5/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(3d[5/2]3),O,1535.34,1754.62
3d,4f,3d-1F3,4f-1F3,7,7,5721.82,0.037089,0.033959,1.16E+05,1.06E+05,Ar(3d[5/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(3d[5/2]3),O,1530.62,1747.7
3d,4f,3d-1F3,4f-3G3,7,7,7138.09,5.42E-03,7.73E-03,2.63E+04,3.75E+04,Ar(3d[5/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(3d[5/2]3),O,1259.97,1400.94
3d,4f,3d-1F3,4f-3F3,7,7,7138.79,0.013006,0.018541,6.32E+04,9.00E+04,Ar(3d[5/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(3d[5/2]3),O,1259.81,1400.8
3d,4f,3d-3D3,4f-3D3,7,7,4511,0.068713,0.039118,1.33E+05,7.59E+04,Ar(3d'[5/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(3d'[5/2]3),O,1849.18,2216.81
3d,4f,3d-3D3,4f-1F3,7,7,4533.58,0.029793,0.017141,5.84E+04,3.36E+04,Ar(3d'[5/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(3d'[5/2]3),O,1842.32,2205.76
3d,4f,3d-3D3,4f-3G3,7,7,5949.84,0.199338,0.197394,6.72E+05,6.66E+05,Ar(3d'[5/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(3d'[5/2]3),O,1463.85,1680.72
3d,4f,3d-3D3,4f-3F3,7,7,5950.55,0.254916,0.252487,8.60E+05,8.52E+05,Ar(3d'[5/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(3d'[5/2]3),O,1463.64,1680.52
3d,4f,3d-3F3,4f-1G4,7,9,6136.91,0.485558,0.511967,1.36E+06,1.43E+06,Ar(3d[7/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(3d[7/2]3),O,1391.44,1629.48
3d,4f,3d-3F3,4f-3F4,7,9,6183.19,0.157217,0.168311,4.45E+05,4.77E+05,Ar(3d[7/2]3),Ar(4f[7/2]4),Ar(4f[7/2]4)->Ar(3d[7/2]3),O,1383.21,1617.29
3d,4f,3d-3F3,4f-3G4,7,9,7599.52,0.084147,0.135934,3.60E+05,5.82E+05,Ar(3d[7/2]3),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(3d[7/2]3),O,1158.36,1315.87
3d,4f,3d-1F3,4f-1G4,7,9,5675.59,0.418144,0.376995,9.99E+05,9.00E+05,Ar(3d[5/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(3d[5/2]3),O,1540.68,1761.93
3d,4f,3d-1F3,4f-3F4,7,9,5721.86,4.67205,4.27869,1.13E+07,1.04E+07,Ar(3d[5/2]3),Ar(4f[7/2]4),Ar(4f[7/2]4)->Ar(3d[5/2]3),O,1530.61,1747.69
3d,4f,3d-1F3,4f-3G4,7,9,7138.19,0.131407,0.187294,4.96E+05,7.07E+05,Ar(3d[5/2]3),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(3d[5/2]3),O,1259.97,1400.92
3d,4f,3d-3D3,4f-1G4,7,9,4487.35,0.056298,0.031754,8.40E+04,4.74E+04,Ar(3d'[5/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(3d'[5/2]3),O,1856.93,2228.49
3d,4f,3d-3D3,4f-3F4,7,9,4533.62,0.226176,0.130056,3.45E+05,1.98E+05,Ar(3d'[5/2]3),Ar(4f[7/2]4),Ar(4f[7/2]4)->Ar(3d'[5/2]3),O,1842.31,2205.75
3d,4f,3d-3D3,4f-3G4,7,9,5949.95,5.34017E-02,5.28822E-02,1.4E+06,1.39E+06,Ar(3d'[5/2]3),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(3d'[5/2]3),O,1463.84,1680.69
3d,4f,3d-3F4,4f-3D3,9,7,6333.42,0.037586,0.042173,1.44E+05,1.61E+05,Ar(3d[7/2]4),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(3d[7/2]4),O,1336.97,1578.93
3d,4f,3d-3F4,4f-1F3,9,7,6356.01,0.020812,0.023519,8.01E+04,9.05E+04,Ar(3d[7/2]4),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(3d[7/2]4),O,1333.38,1573.31
3d,4f,3d-3F4,4f-3G3,9,7,7772.27,6.15E-06,1.04E-05,35.3963,59.8117,Ar(3d[7/2]4),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(3d[7/2]4),O,1123.21,1286.63
3d,4f,3d-3F4,4f-3F3,9,7,7772.98,2.58E-05,4.37E-05,1.49E+02,2.51E+02,Ar(3d[7/2]4),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(3d[7/2]4),O,1123.08,1286.51
3d,4f,3d-3F4,4f-1G4,9,9,6309.77,0.148049,0.16488,4.37E+05,4.87E+05,Ar(3d[7/2]4),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(3d[7/2]4),O,1341.02,1584.84
3d,4f,3d-3F4,4f-3F4,9,9,6356.05,0.727333,0.821931,2.18E+06,2.46E+06,Ar(3d[7/2]4),Ar(4f[7/2]4),Ar(4f[7/2]4)->Ar(3d[7/2]4),O,1333.38,1573.31
3d,4f,3d-3F4,4f-3G4,9,9,7772.38,2.16E-04,3.65E-04,9.67E+02,1.63E+03,Ar(3d[7/2]4),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(3d[7/2]4),O,1123.2,1286.61
3d,4f,3d-3F4,4f-3G5,9,11,6309.6,6.46074,7.19471,1.56E+07,1.74E+07,Ar(3d[7/2]4),Ar(4f[9/2]5),Ar(4f[9/2]5)->Ar(3d[7/2]4),O,1341.03,1584.89
4d,4f,4d-3P0,4f-3D1,1,3,787.18,0.099786,0.382551,1.37E+04,5.27E+04,Ar(4d[1/2]0),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(4d[1/2]0),O,5966.46,12702.93
4d,4f,4d-3P1,4f-3D1,3,3,696.47,0.10562,0.316579,1.14E+04,3.41E+04,Ar(4d[1/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(4d[1/2]1),O,6506.87,14357.3
4d,4f,4d-3D1,4f-3D1,3,3,275.34,0.01712,8.09E-03,2.89E+02,1.36E+02,Ar(4d[3/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(4d[3/2]1),O,29371.85,-36320.05
4d,4f,4d-1P1,4f-3D1,3,3,1715.52,1.96E-04,3.51E-03,1.28E+02,2.30E+03,Ar(4d'[3/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(4d'[3/2]1),R,12140.52,-5829.14
4d,4f,4d-3P1,4f-3D2,3,5,696.96,0.0149901,0.0448182,9.71E+03,2.448E+04,Ar(4d[1/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d[1/2]1),O,6505.18,14347.41
4d,4f,4d-3P1,4f-1D2,3,5,742.52,0.072519,0.248178,5.33E+03,1.83E+04,Ar(4d[1/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d[1/2]1),O,6334.45,13467.11
4d,4f,4d-3P1,4f-3F2,3,5,2182.1,1.94E-03,0.057069,1.23E+03,3.63E+04,Ar(4d[1/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d[1/2]1),O,3329.8,4582.68
4d,4f,4d-3D1,4f-3D2,3,5,274.85,0.281782,0.13047,4.73E+03,2.19E+03,Ar(4d[3/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d[3/2]1),O,29337.47,-36383.48
4d,4f,4d-3D1,4f-1D2,3,5,229.29,0.543089,0.17606,6.35E+03,2.06E+03,Ar(4d[3/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d[3/2]1),O,26157.95,-43612.89
4d,4f,4d-3D1,4f-3F2,3,5,1210.28,0.024864,0.225288,4.86E+03,4.40E+04,Ar(4d[3/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d[3/2]1),O,5534.62,8262.48
4d,4f,4d-1P1,4f-3D2,3,5,1715.03,0.013452,0.24287,8.80E+03,1.59E+05,Ar(4d'[3/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d'[3/2]1),R,12146.41,-5830.77
4d,4f,4d-1P1,4f-1D2,3,5,1669.48,6.71E-03,0.115047,4.16E+03,7.13E+04,Ar(4d'[3/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d'[3/2]1),R,12790.07,-5989.89
4d,4f,4d-1P1,4f-3F2,3,5,229.9,0.875554,0.286312,1.03E+04,3.36E+03,Ar(4d'[3/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d'[3/2]1),O,15560.32,-43497.17
4d,4f,4d-3P2,4f-3D1,5,3,536.64,0.014026,0.024876,8.98E+02,1.59E+03,Ar(4d[3/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(4d[3/2]2),O,7802.62,18633.42
4d,4f,4d-1D2,4f-3D1,5,3,262.22,0.012661,5.40E-03,1.94E+02,82.5924,Ar(4d'[5/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(4d'[5/2]2),R,23213.48,38131.55
4d,4f,4d-3F2,4f-3D1,5,3,1001.65,6.53E-05,4.06E-04,8.73401,54.3722,Ar(4d[5/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(4d[5/2]2),O,13451.67,-9983.83
4d,4f,4d-3D2,4f-3D1,5,3,1043.79,3.21E-04,2.15E-03,46.659,3.13E+02,Ar(4d'[3/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(4d'[3/2]2),R,24233.11,-9580.65
4d,4f,4d-3P2,4f-3D2,5,5,537.13,0.128152,0.22724,4.93E+03,8.75E+03,Ar(4d[3/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d[3/2]2),O,7800.19,18616.77
4d,4f,4d-3P2,4f-1D2,5,5,582.68,0.033421,0.070098,1.51E+03,3.18E+03,Ar(4d[3/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d[3/2]2),O,7556.0,17161.2
4d,4f,4d-3P2,4f-3F2,5,5,2022.26,2.34E-04,0.010783,2.34E+02,5.88E+03,Ar(4d[3/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d[3/2]2),O,3639.05,4944.89
4d,4f,4d-1D2,4f-3D2,5,5,262.7,1.05E-03,4.26E-04,9.62705,3.93465,Ar(4d'[5/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d'[5/2]2),R,23235.0,38061.89
4d,4f,4d-1D2,4f-1D2,5,5,308.26,0.203026,0.119404,2.57E+03,1.51E+03,Ar(4d'[5/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d'[5/2]2),R,25710.03,32436.99
4d,4f,4d-1D2,4f-3F2,5,5,1747.84,3.60E-04,6.81E-03,1.47E+02,2.78E+03,Ar(4d'[5/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d'[5/2]2),O,9656.58,5721.25
4d,4f,4d-3F2,4f-3D2,5,5,1001.16,3.01E-06,1.76E-05,0.402524,2.35275,Ar(4d[5/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d[5/2]2),O,13444.46,-9988.61
4d,4f,4d-3F2,4f-1D2,5,5,955.6,1.55E-03,8.75E-03,1.89E+02,1.07E+03,Ar(4d[5/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d[5/2]2),O,12735.07,-10464.85
4d,4f,4d-3F2,4f-3F2,5,5,483.97,0.033963,0.049299,1.06E+03,1.54E+03,Ar(4d[5/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d[5/2]2),O,4525.4,20661.16
4d,4f,4d-3D2,4f-3D2,5,5,1043.3,2.94E-03,0.019669,4.27E+02,2.86E+03,Ar(4d'[3/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d'[3/2]2),R,24256.57,-9585.06
4d,4f,4d-3D2,4f-1D2,5,5,997.75,6.03E-04,3.71E-03,80.1127,4.93E+02,Ar(4d'[3/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d'[3/2]2),R,26966.72,-10022.75
4d,4f,4d-3D2,4f-3F2,5,5,441.83,0.058564,0.070305,1.53E+03,1.83E+03,Ar(4d'[3/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d'[3/2]2),O,9490.46,22632.11
4d,4f,4d-3P2,4f-3D3,5,7,582.33,0.491975,1.02521,1.59E+04,3.31E+04,Ar(4d[3/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(4d[3/2]2),O,7557.78,17171.8
4d,4f,4d-3P2,4f-1F3,5,7,604.91,8.99E-06,9.06E-06,0.313624,0.316013,Ar(4d[3/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(4d[3/2]2),O,7444.55,16530.57
4d,4f,4d-3P2,4f-3G3,5,7,2021.18,3.56E-09,4.71E-07,1.39E-03,0.18348,Ar(4d[3/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(4d[3/2]2),O,3640.83,4947.56
4d,4f,4d-3P2,4f-3F3,5,7,2021.88,6.01E-03,0.1508,2.34E+03,5.87E+04,Ar(4d[3/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(4d[3/2]2),O,3639.51,4945.82
4d,4f,4d-1D2,4f-3D3,5,7,307.91,0.014183,8.12E-03,1.28E+02,73.3785,Ar(4d'[5/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(4d'[5/2]2),R,25689.36,32474.91
4d,4f,4d-1D2,4f-1F3,5,7,330.49,0.958322,0.646798,9.97E+03,6.73E+03,Ar(4d'[5/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(4d'[5/2]2),R,27089.98,30255.36
4d,4f,4d-1D2,4f-3G3,5,7,1746.75,3.02E-03,0.057979,8.79E+02,1.66E+04,Ar(4d'[5/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(4d'[5/2]2),O,9669.11,5724.82
4d,4f,4d-1D2,4f-3F3,5,7,1747.46,3.01E-05,5.56E-04,8.7681,1.62E+02,Ar(4d'[5/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(4d'[5/2]2),O,9659.8,5722.49
4d,4f,4d-3F2,4f-3D3,5,7,955.96,9.15E-05,5.04E-04,11.1562,61.4832,Ar(4d[5/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(4d[5/2]2),O,12740.15,-10460.91
4d,4f,4d-3F2,4f-1F3,5,7,933.38,4.62E-03,0.024881,5.37E+02,2.89E+03,Ar(4d[5/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(4d[5/2]2),O,12421.65,-10714.09
4d,4f,4d-3F2,4f-3G3,5,7,482.89,0.763722,1.10144,1.70E+04,2.45E+04,Ar(4d[5/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(4d[5/2]2),O,4528.15,20707.79
4d,4f,4d-3F2,4f-3F3,5,7,483.59,3.53E-03,5.00E-03,78.7454,1.11E+02,Ar(4d[5/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(4d[5/2]2),O,4526.11,20677.39
4d,4f,4d-3D2,4f-3D3,5,7,998.1,9.08E-03,0.055573,1.21E+03,7.39E+03,Ar(4d'[3/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(4d'[3/2]2),R,26943.97,-10019.14
4d,4f,4d-3D2,4f-1F3,5,7,975.52,5.75E-06,2.00E-06,7.31E-01,0.254181,Ar(4d'[3/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(4d'[3/2]2),R,28488.85,-10251.15
4d,4f,4d-3D2,4f-3G3,5,7,440.75,7.73E-05,1.07E-04,1.42995,1.98939,Ar(4d'[3/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(4d'[3/2]2),O,9502.56,22688.08
4d,4f,4d-3D2,4f-3F3,5,7,441.45,0.807998,0.967021,1.50E+04,1.80E+04,Ar(4d'[3/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(4d'[3/2]2),O,9493.58,22651.6
4d,4f,4d-3F3,4f-3D2,7,5,446.73,1.02E-03,1.26E-03,27.1831,33.5678,Ar(4d[7/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d[7/2]3),O,10248.41,22383.38
4d,4f,4d-3F3,4f-1D2,7,5,492.29,9.48E-03,1.42E-03,3.07E+03,4.60E+02,Ar(4d[7/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d[7/2]3),O,9830.98,20311.99
4d,4f,4d-3F3,4f-3F2,7,5,1931.87,1.42E-05,3.26E-04,7.06786,1.62E+02,Ar(4d[7/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d[7/2]3),O,4095.49,5176.25
