,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
4p,3d,4p-3P0,3d-1P1,1,3,8648.14,0.00687,0.00573,1.14E+05,9.55E+04,Ar(4p[1/2]0),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p[1/2]0),O,1202.99,1156.32
4p,3d,4p-1S0,3d-3P1,1,3,3668.38,0.00125,0.00566,3.74E+03,1.70E+04,Ar(4p'[1/2]0),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p'[1/2]0),O,3230.59,2726.0
4p,3d,4p-1S0,3d-3D1,1,3,5259.59,0.00783,0.01452,4.36E+04,8.93E+04,Ar(4p'[1/2]0),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p'[1/2]0),O,1843.28,1901.29
4p,3d,4p-1S0,3d-1P1,1,3,6817.39,0.81426,1.03674,8.41E+06,1.07E+07,Ar(4p'[1/2]0),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p'[1/2]0),O,1505.06,1466.84
4p,3d,4p-3S1,3d-3P0,3,1,8043.87,0.42168,0.38531,1.82E+07,1.66E+07,Ar(4p[1/2]1),Ar(3d[1/2]0),Ar(3d[1/2]0)->Ar(4p[1/2]1),O,1321.76,1243.18
4p,3d,4p-3D1,3d-3P0,3,1,6327.97,0.06513,0.09719,1.74E+06,2.60E+06,Ar(4p[3/2]1),Ar(3d[1/2]0),Ar(3d[1/2]0)->Ar(4p[3/2]1),O,1791.95,1580.29
4p,3d,4p-1P1,3d-3P0,3,1,5263.97,0.00645,0.01394,1.19E+05,2.58E+05,Ar(4p'[3/2]1),Ar(3d[1/2]0),Ar(3d[1/2]0)->Ar(4p'[3/2]1),O,2204.56,1899.7
4p,3d,4p-3P1,3d-3P0,3,1,4913.38,0.04274,0.10469,6.88E+05,1.69E+06,Ar(4p'[1/2]1),Ar(3d[1/2]0),Ar(3d[1/2]0)->Ar(4p'[1/2]1),O,2397.31,2035.25
4p,3d,4p-3S1,3d-3P1,3,3,8172.8,1.13148,1.0019,1.68E+07,1.49E+07,Ar(4p[1/2]1),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p[1/2]1),O,1296.02,1223.57
4p,3d,4p-3S1,3d-3D1,3,3,9764.01,0.06973,0.1165,1.25E+05,7.29E+04,Ar(4p[1/2]1),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p[1/2]1),O,995.46,1024.17
