"Multiconfiguration Dirac-Hartree-Fock energy levels, oscillator
strengths, transition probabilities, hyperfine constants and Land´e
g-factor of intermediate Rydberg series in neutral argon atom","Wa’el Salah1,a and Ola Hassouneh2",Eur. Phys. J. Plus (2017) 132: 160 THE EUROPEAN,,,,,,,,,
,Designation,LS-Term,Energy [cm-1] NIST,Energy [cm-1],g,,S,P,d,f,
5f,Ar(5f[3/2]1),5f-3D1,122686.065,121656.17,3.0,,,,,,
,Ar(5f[3/2]2),5f-3D2,122686.41,121656.58,5.0,,,,,,
,Ar(5f[5/2]2),5f-1D2,122708.126,121680.19,5.0,,,,,,
,Ar(5f[5/2]3),5f-3D3,122707.902,121679.9,7.0,,,,,,
,Ar(5f[7/2]3),5f-1F3,122717.823,121691.3,7.0,,,,,,
,Ar(5f[7/2]4),5f-3F4,122717.853,121691.33,9.0,,,,,,
,Ar(5f[9/2]4),5f-1G4,122695.697,121667.53,9.0,,,,,,
,Ar(5f[9/2]5),5f-3G5,122695.636,121667.38,11.0,,,,,,
,Ar(5f'[5/2]2),5f-3F2,124137.436,123122.56,5.0,,,,,,
,Ar(5f'[5/2]3),5f-3F3,124137.214,123122.24,7.0,,,,,,
,Ar(5f'[7/2]3),5f-3G3,124135.669,123122.05,7.0,,,,,,
,Ar(5f'[7/2]4),5f-3G4,124135.698,123122.14,9.0,,,,,,
6d,Ar(6d[1/2]0),6d-3P0,123508.927,122728.85,1.0,,,,,,
,Ar(6d[1/2]1),6d-3P1,123467.9733,122767.74,3.0,,,,,,
,Ar(6d[7/2]4),6d-3F4,123653.177,122802.44,9.0,,,,,,
,Ar(6d[7/2]3),6d-3F3,123773.8614,122846.34,7.0,,,,,,
,Ar(6d[3/2]2),6d-3P2,123808.513,122824.96,5.0,,,,,,
,Ar(6d[3/2]1),6d-3D1,123997.01,123145.1,3.0,,,,,,
,Ar(6d[5/2]2),6d-3F2,123826.75,124281.33,5.0,,,,,,
,Ar(6d[5/2]3),6d-1F3,123832.419,124310.26,7.0,,,,,,
,Ar(6d'[5/2]2),6d-1D2,125113.376,122905.12,5.0,,,,,,
,Ar(6d'[5/2]3),6d-3D3,125149.937,122921.34,7.0,,,,,,
,Ar(6d'[3/2]2),6d-3D2,125066.432,124285.9,5.0,,,,,,
,Ar(6d'[3/2]1),6d-1P1,125286.26,124500.53,3.0,,,,,,
7p,Ar(7p[1/2]1),7p-3S1,123171.92,122185.75,3.0,,,,,,
,Ar(7p[5/2]3),7p-3D3,123205.78,122233.32,7.0,,,,,,
,Ar(7p[5/2]2),7p-3D2,123220.69,123700.9,5.0,,,,,,
,Ar(7p[3/2]1),7p-3D1,123254.91,123213.3,3.0,,,,,,
,Ar(7p[3/2]2),7p-3P2,123261.525,122288.85,5.0,,,,,,
,Ar(7p[1/2]0),7p-3P0,123385.044,123801.55,1.0,,,,,,
,Ar(7p'[3/2]1),7p-1P1,124643.45,122283.93,3.0,,,,,,
,Ar(7p'[3/2]2),7p-1D2,124658.44,122247.64,5.0,,,,,,
,Ar(7p'[1/2]1),7p-3P1,124650.95,123693.59,3.0,,,,,,
,Ar(7p'[1/2]0),7p-1S0,124749.805,122407.01,1.0,,,,,,
8s,Ar(8s[3/2]2),8s-3P2,123903.22,123766.12,5.0,,,,,,
,Ar(8s[3/2]1),8s-3P1,123935.87,123782.22,3.0,,,,,,
,Ar(8s'[1/2]0),8s-3P0,125334.69,125212.51,1.0,,,,,,
,Ar(8s'[1/2]1),8s-1P1,125353.23,125220.63,3.0,,,,,,
