obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
,489.4691,,1.8E+06,1E-01,D,104102.0990,124526.695,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,0,3,1,,
,492.1034,,5.9E+04,2.4E-02,E,105617.2700,125932.53,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).10d,2[7/2]*,3,5,7,,
,493.7720,,3.6E+04,1.1E-02,E,105462.7596,125709.37,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).11s,2[3/2]*,2,7,5,,
,495.6750,,1.8E+05,9.7E-02,E,105462.7596,125631.64,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).9d,2[7/2]*,4,7,9,,
,498.9943,,1.1E+05,4.7E-02,E,105617.2700,125651.99,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).9d,2[7/2]*,3,5,7,,
,503.2024,,8.2E+04,2.6E-02,E,105462.7596,125329.94,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,2,7,5,,
,504.8811,,4.6E+05,1.5E-01,D,104102.0990,123903.220,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,2,3,5,,
,505.4176,,4.5E+05,8.6E-02,D,104102.0990,123882.203,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,3,3,,
,505.6529,,5.7E+05,3.6E-02,D,104102.0990,123873.000,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,0,3,1,,
,506.0079,,3.7E+05,2.1E-01,E,105462.7596,125219.788,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).8d,2[7/2]*,4,7,9,,
,507.0977,,2.6E+05,5E-02,E,105617.2700,125331.84,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,1,5,3,,
,507.3076,,5.9E+04,1.9E-02,D,104102.0990,123808.513,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6d,2[3/2]*,2,3,5,,
,507.8033,,4.7E+04,2.1E-02,E,105462.7596,125149.937,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,3,7,7,,
,508.7084,,1.6E+05,7.3E-02,E,105617.2700,125269.42,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).8d,2[7/2]*,3,5,7,,
,510.4729,,8.7E+04,2.9E-02,E,106087.2598,125671.48,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).9d,2[5/2]*,2,3,5,,
,511.8202,,2.7E+05,1.3E-01,D+,105617.2700,125149.937,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,3,5,7,,
,512.7801,,3.3E+04,1.1E-02,D,105617.2700,125113.376,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,2,5,5,,
515.1391,515.1391,5,2.39E+06,1.61E-01,C,104102.0990,123508.927,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,0,3,1,,
,515.2303,,1.1E+05,3.7E-02,D,104102.0990,123505.4896,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,3,5,,
516.2285,516.2285,15,1.9E+06,3.87E-01,C,104102.0990,123467.9733,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,3,3,,
,517.7536,,2.4E+05,8.2E-02,D,105462.7596,124771.59,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,2,7,5,,
518.7746,518.7746,20,1.38E+06,4.76E-01,C,104102.0990,123372.9253,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,2,3,5,,
,519.2733,,1.2E+04,5.8E-03,D,105462.7596,124715.081,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).7d,2[5/2]*,3,7,7,,
,519.4052,,7.8E+05,5.4E-02,D,106087.2598,125334.69,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).8s,2[1/2]*,0,3,1,,
,521.0486,,1.1E+05,5.4E-02,D,105462.7596,124649.485,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).7d,2[7/2]*,3,7,7,,
,521.4774,,2.1E+05,4.4E-02,D,105617.2700,124788.22,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).7d,2[3/2]*,1,5,3,,
,521.6300,,1.3E+05,2.7E-02,D,105617.2700,124782.61,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,1,5,3,,
522.1271,522.1270,7,8.8E+05,5.6E-01,D,105462.7596,124609.856,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).7d,2[7/2]*,4,7,9,,
,524.1093,,1.3E+05,4.6E-02,D,105617.2700,124691.951,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).7d,2[5/2]*,2,5,5,,
,524.6198,,1.2E+05,6E-02,E,106237.5518,125293.67,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).8d,2[5/2]*,3,5,7,,
,524.9165,,7.9E+04,2.8E-02,E,106237.5518,125282.90,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).8d,2[3/2]*,2,5,5,,
,525.2787,,5.4E+05,2.7E-01,D,105617.2700,124649.485,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).7d,2[7/2]*,3,5,7,,
,525.4471,,3.6E+05,1.3E-01,E,106087.2598,125113.376,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,2,3,5,,
,528.6069,,9.6E+04,4.9E-02,E,106237.5518,125149.937,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,3,5,7,,
,529.0015,,9E+04,2E-02,E,106237.5518,125135.831,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,1,5,3,,
