obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
735.0814,735.0814,5,1.2E+06,2.4E-01,D+,107496.4166,121096.605,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,0,3,1,,
,735.3175,,2.1E+05,2.1E-01,E,106087.2598,119683.0821,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,3,5,,
735.3293,735.330,70,9.6E+05,1.3E+00,D+,105617.2700,119212.87,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,3,5,7,,
737.2118,737.2117,200,1.9E+06,3.4E+00,D+,105462.7596,119023.648,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,4,7,9,,
738.3980,738.3980,10000,8.5E+06,8.4E+00,B,93750.5978,107289.7001,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3,5,,
739.2980,739.2980,20,7.2E+05,4.3E-01,D+,106237.5518,119760.1725,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,5,3,,
741.2337,741.2337,15,3.9E+05,3.9E-01,D+,107131.7086,120619.0162,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,2,3,5,,
,742.2312,,6.6E+04,6.7E-02,D,107131.7086,120600.8905,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,2,3,5,,
742.5294,742.5294,10,3.1E+05,4.4E-01,D,107289.7001,120753.4714,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,3,5,7,,
743.5368,743.5368,25,9E+05,9.1E-01,D+,106237.5518,119683.0821,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,5,5,,
743.6297,743.6297,10,2.7E+05,2.7E-01,D,105462.7596,118906.6110,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,7,5,,
,747.1164,,2.2E+04,1.36E-02,B,93750.5978,107131.7086,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3,3,,
,748.433,,3.4E+05,3.5E-01,D+,106087.2598,119444.83,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).4d,2[5/2]*,2,3,5,,
750.3869,750.3868,20000,4.5E+07,9.3E+00,B,95399.8276,108722.6194,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3,1,,
,751.0408,,4.5E+05,4.7E-01,D,107289.7001,120600.8905,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,2,5,5,,
751.4652,751.4651,15000,4E+07,8.4E+00,B,93750.5978,107054.2720,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3,1,,
,761.8344,,2.9E+05,3.2E-01,D,107496.4166,120619.0162,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,2,3,5,,
,762.8882,,2.9E+05,3.2E-01,D,107496.4166,120600.8905,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,2,3,5,,
763.5106,763.5105,25000,2.45E+07,2.69E+01,B,93143.7600,106237.5518,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,5,5,,
,767.0057,,2.8E+05,1.9E-01,D,105617.2700,118651.3950,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,5,3,,
,770.482,,6.3E+04,1E-01,D,106237.5518,119212.87,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,3,5,7,,
772.3761,772.3760,15000,5.2E+06,3.54E+00,B+,93143.7600,106087.2598,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,5,3,,
772.4207,772.4207,10000,1.17E+07,8E+00,B+,94553.6652,107496.4166,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,1,3,,
,779.8561,,8.7E+04,1E-01,D+,106087.2598,118906.6110,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,3,5,,
,786.8194,,3.5E+05,2.53E-01,C,107054.2720,119760.1725,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,1,3,,
789.1075,789.1075,10,9.5E+05,1.2E+00,C,106237.5518,118906.6110,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,5,5,,
,791.6442,,1.2E+05,8.8E-02,D+,107131.7086,119760.1725,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,3,3,,
794.8176,794.8176,20000,1.86E+07,1.38E+01,B,94553.6652,107131.7086,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,1,3,,
,796.5065,,3.4E+04,4.2E-02,E,107131.7086,119683.0821,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,3,5,,
800.6157,800.6156,20000,4.9E+06,6.2E+00,C+,93750.5978,106237.5518,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3,5,,
801.4786,801.4785,25000,9.3E+06,1.18E+01,B,93143.7600,105617.2700,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,5,5,,
,801.6738,,4.2E+03,3.2E-03,E,107289.7001,119760.1725,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,5,3,,
,803.7219,,3.59E+05,2.76E-01,C,108722.6194,121161.3135,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,1,3,,
,804.6118,,1.12E+06,2.88E-01,C,106087.2598,118512.197,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,0,3,1,,
805.3308,805.3308,7,8.6E+05,6.7E-01,C,106237.5518,118651.3950,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,5,3,,
,806.6604,,1.4E+05,1.8E-01,D+,107289.7001,119683.0821,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,5,5,,
810.3693,810.3692,20000,2.5E+07,1.97E+01,B+,93750.5978,106087.2598,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3,3,,
811.5311,811.5311,35000,3.3E+07,6.1E+01,B,93143.7600,105462.7596,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,5,7,,
,815.1868,,3.3E+04,2.6E-02,E,107496.4166,119760.1725,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,3,3,,
,820.3435,,1.6E+05,2.2E-01,E,107496.4166,119683.0821,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,3,5,,
826.4522,826.4521,10000,1.53E+07,1.28E+01,B+,95399.8276,107496.4166,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3,3,,
,838.473,,2.4E+05,4.9E-01,D,107289.7001,119212.87,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,3,5,7,,
840.8210,840.8209,15000,2.23E+07,3.27E+01,B+,95399.8276,107289.7001,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3,5,,
842.4648,842.4647,20000,2.15E+07,3.18E+01,B+,93750.5978,105617.2700,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3,5,,
,849.0307,,9.6E+04,1.5E-01,D,107131.7086,118906.6110,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,3,5,,
852.1442,852.1441,15000,1.39E+07,1.27E+01,B,95399.8276,107131.7086,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3,3,,
860.5776,860.5776,7,1.04E+06,1.64E+00,C,107289.7001,118906.6110,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,5,5,,
,862.0460,,9.2E+05,8.7E-01,C,107054.2720,118651.3950,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,1,3,,
866.7944,866.7943,4500,2.43E+06,2.35E+00,B,94553.6652,106087.2598,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,1,3,,
,876.1686,,9.5E+05,1.6E+00,D+,107496.4166,118906.6110,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,3,5,,
,878.4557,,2.4E+05,8E-02,D,107131.7086,118512.197,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,0,3,1,,
,879.9087,,4.6E+05,4.6E-01,D+,107289.7001,118651.3950,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,5,3,,
,896.2147,,1.6E+05,1.7E-01,D+,107496.4166,118651.3950,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,3,3,,
,905.7493,,9.7E+04,1.1E-01,E,108722.6194,119760.1725,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,1,3,,
907.5394,907.5395,20,1.2E+06,4.4E-01,D,107496.4166,118512.197,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,0,3,1,,
912.2967,912.2967,35000,1.89E+07,2.13E+01,B,93143.7600,104102.0990,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,5,3,,
919.4638,919.4638,550,1.76E+06,2.03E+00,C,104102.0990,114975.019,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,3,,
922.4499,922.4498,15000,5E+06,9.8E+00,B,95399.8276,106237.5518,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3,5,,
929.1531,929.1532,400,3.26E+06,1.29E+00,C,104102.0990,114861.635,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,3,1,,
935.4220,935.4218,1600,1.06E+06,1.29E+00,B,95399.8276,106087.2598,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3,3,,
965.7786,965.7786,25000,5.4E+06,7.2E+00,B,93750.5978,104102.0990,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3,3,,
978.4503,978.4502,4500,1.47E+06,3.4E+00,B,95399.8276,105617.2700,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3,5,,
1047.0054,1047.0053,1600,9.8E+05,1.7E+00,C+,94553.6652,104102.0990,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,1,3,,
1047.8034,1047.8034,13,2.44E+06,4.16E+00,C,104102.0990,113643.260,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,3,,
,1050.6118,,1.58E+06,4.53E+00,C,112138.924,121654.580,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4f,2[5/2],2,5,5,,
1050.650,1050.6500,180,1.58E+06,6.34E+00,C,112138.924,121654.234,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4f,2[5/2],3,5,7,,
1067.3565,1067.3566,200,4.9E+06,1.5E+01,D,104102.0990,113468.473,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3,5,,
,1068.3404,,2.1E+05,3.8E-01,E,105617.2700,114975.019,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,5,3,,
,1095.0726,,3.96E+05,7.71E-01,C,106237.5518,115366.866,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,5,3,,
1107.8869,1107.8868,11,8.3E+05,2.8E+00,C,105617.2700,114640.992,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,5,5,,
,1124.8350,,2.8E+05,5.9E-01,E,106087.2598,114975.019,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,3,,
,1139.3703,,2.22E+06,1.62E+00,C,106087.2598,114861.635,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,3,1,,
1144.1832,1144.1832,12,1.39E+06,3.09E+00,C,106237.5518,114975.019,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,5,3,,
,1146.7545,,3.69E+05,1.37E+00,C,106087.2598,114805.135,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3,5,,
1148.8109,1148.8108,400,1.9E+05,4.3E-01,C,95399.8276,104102.0990,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3,3,,
,1158.0389,,3.46E+05,2.39E+00,C,113020.355,121653.280,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,3s2.3p5.(2P*<1/2>).4f,2[7/2],4,7,9,,
,1158.0446,,3.46E+05,1.86E+00,C,113020.355,121653.238,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,3s2.3p5.(2P*<1/2>).4f,2[7/2],3,7,7,,
1166.8710,1166.8709,200,3.76E+06,1.48E+01,C,106237.5518,114805.135,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,5,5,,
1171.9488,1171.9487,12,9.52E+05,2.27E+00,C,105617.2700,114147.732,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,5,3,,
,1173.3236,,6.7E+05,1.6E+00,C,111667.766,120188.232,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,1,3,,
,1194.3302,,4.6E+06,1.9E+01,D+,111818.028,120188.631,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[3/2],2,3,5,,
,1194.3871,,4.6E+06,1.2E+01,D+,111818.028,120188.232,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,3,3,,
,1202.6648,,4.2E+05,1.1E+00,D,107054.2720,115366.866,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,1,3,,
1211.2326,1211.2324,200,3.1E+06,1.9E+01,D,105462.7596,113716.555,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,7,7,,
1213.9738,1213.9737,50,4.5E+06,1.2E+01,D,107131.7086,115366.866,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3,3,,
1234.3393,1234.3392,50,2E+06,1.3E+01,D,105617.2700,113716.555,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,5,7,,
,1235.5819,,3.5E+06,1.6E+01,D,112138.924,120230.063,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[5/2],2,5,5,,
,1235.6297,,3.5E+06,2.3E+01,D,112138.924,120229.750,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[5/2],3,5,7,,
1240.2827,1240.2828,200,1.1E+07,3.1E+01,D,106087.2598,114147.732,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3,3,,
1243.9321,1243.9321,200,4.9E+06,2.3E+01,D,104102.0990,112138.924,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3,5,,
1245.612,1245.6114,100,8.9E+06,2.5E+01,D,105617.2700,113643.260,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,5,3,,
1248.7663,1248.7663,200,1.1E+07,5.3E+01,D,105462.7596,113468.473,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,7,5,,
,1255.4324,,1.2E+05,5.9E-01,D,105462.7596,113425.964,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,7,5,,
,1262.1619,,3.8E+05,1.1E+00,E,107054.2720,114975.019,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,1,3,,
1270.2281,1270.2280,150,7.1E+06,2.2E+01,D,107496.4166,115366.866,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3,3,,
1273.3418,1273.3418,30,1.1E+06,5.6E+00,D,105617.2700,113468.473,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,5,5,,
1274.6232,1274.6232,12,2E+06,6.1E+00,D,107131.7086,114975.019,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,3,,
1280.2739,1280.2737,200,5.7E+06,3E+01,D,105617.2700,113425.964,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,5,5,,
1293.3195,1293.3196,50,1E+07,1.1E+01,D,107131.7086,114861.635,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,3,1,,
1295.6659,1295.6658,500,7.4E+06,2.4E+01,D,104102.0990,111818.028,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3,3,,
1300.8264,1300.8264,200,8.9E+06,2.9E+01,D,107289.7001,114975.019,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,5,3,,
1321.399,1321.3991,200,8.1E+06,9.2E+00,D,104102.0990,111667.766,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,3,1,,
1323.090,1323.0897,100,4.6E+06,1.6E+01,D,106087.2598,113643.260,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,3,,
1327.264,1327.2635,500,1.5E+07,1.2E+02,D,107289.7001,114821.939,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,3,5,7,,
1331.3210,1331.3209,1000,1.3E+07,7.6E+01,D,107131.7086,114640.992,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,3,5,,
,1336.7827,,3.4E+06,1.2E+01,D,107496.4166,114975.019,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,3,,
,1340.6513,,6.5E+06,7E+01,D,112750.153,120207.175,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,4,3s2.3p5.(2P*<3/2>).4f,2[9/2],4,9,9,,
,1340.6587,,6.5E+06,8.5E+01,D,112750.153,120207.134,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,4,3s2.3p5.(2P*<3/2>).4f,2[9/2],5,9,11,,
1349.941,1349.9406,30,2.7E+06,9.8E+00,D,106237.5518,113643.260,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,5,3,,
1350.4191,1350.4189,1000,1.1E+07,9.4E+01,D,105617.2700,113020.355,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,5,7,,
,1354.4205,,4.6E+05,2.8E+00,E,106087.2598,113468.473,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3,5,,
1357.3617,1357.3618,11,5.1E+06,6.3E+00,D,107496.4166,114861.635,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,3,1,,
1359.9333,1359.9333,30,2.2E+06,1.4E+01,D,107289.7001,114640.992,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,5,5,,
1362.2659,1362.2659,400,7.3E+06,4.6E+01,D,106087.2598,113425.964,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,3,5,,
1367.8550,1367.8549,200,6.2E+06,3.9E+01,D,107496.4166,114805.135,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3,5,,
1382.5715,1382.5716,10,3.3E+06,2.2E+01,D,106237.5518,113468.473,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,5,5,,
1409.3640,1409.3640,200,4.3E+06,1.8E+01,D,107054.2720,114147.732,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,1,3,,
,1459.5734,,5.3E+06,4.1E+01,D,114805.135,121654.580,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4f,2[5/2],2,5,5,,
,1459.6471,,5.3E+06,5.7E+01,D,114805.135,121654.234,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4f,2[5/2],3,5,7,,
,1463.4414,,9E+06,1.3E+02,D,114821.939,121653.280,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<1/2>).4f,2[7/2],4,7,9,,
,1463.4504,,9E+06,9.8E+01,D,114821.939,121653.238,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<1/2>).4f,2[7/2],3,7,7,,
,1473.9139,,8.8E+04,9.7E-01,D,106237.5518,113020.355,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,5,7,,
,1478.5380,,2.1E+05,1.7E+00,D,113468.473,120230.063,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[5/2],2,5,5,,
,1478.6064,,2.1E+05,2.3E+00,D,113468.473,120229.750,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[5/2],3,5,7,,
,1487.6537,,6E+04,4.9E-01,D,113468.473,120188.631,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[3/2],2,5,5,,
,1487.7420,,6E+04,2.9E-01,D,113468.473,120188.232,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,5,3,,
1504.650,1504.6503,100,5.2E+06,2.6E+01,D,108722.6194,115366.866,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,1,3,,
1517.269,1517.2691,25,1.3E+06,6.7E+00,D,107054.2720,113643.260,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,1,3,,
,1530.1881,,5.4E+06,8.6E+01,D,113716.555,120249.914,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<3/2>).4f,2[7/2],4,7,9,,
,1530.1970,,5.4E+06,6.7E+01,D,113716.555,120249.876,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<3/2>).4f,2[7/2],3,7,7,,
1532.934,1532.9345,10,1.2E+05,1.1E+00,E,105617.2700,112138.924,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,5,5,,
,1535.3128,,4.5E+05,2.4E+00,E,107131.7086,113643.260,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,3,,
,1540.2640,,1.4E+06,2.3E+01,D,113716.555,120207.175,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<3/2>).4f,2[9/2],4,7,9,,
