obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Source
459.6097,459.6097,15,9.5e+04,3.0e-04,B,95399.8276,117151.3264,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[3/2],1,3,3,,T5223,L2634,NIST
462.8441,462.8441,7,3.83e+04,2.05e-04,B+,95399.8276,116999.3259,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[5/2],2,3,5,,T5223,L2634,NIST
,464.2137,,9.6e+04,5.2e-04,E,104102.0990,125637.87,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).9d,2[3/2]*,2,3,5,,T1164n,,NIST
,464.7489,,1.2e+05,3.9e-04,E,104102.0990,125613.07,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).9d,2[1/2]*,1,3,3,,T1164n,,NIST
470.2316,470.2316,15,1.09e+05,3.6e-04,B,95399.8276,116659.9934,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[1/2],1,3,3,,T5223,L2634,NIST
,474.6821,,3.6e+05,4.1e-04,E,104102.0990,125162.94,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,0,3,1,,T1164n,,NIST
,475.2939,,4.5e+05,1.5e-03,E,104102.0990,125135.831,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,1,3,3,,T1164n,,NIST
,476.8673,,8.6e+05,4.9e-03,D,104102.0990,125066.432,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).6d,2[3/2]*,2,3,5,,T1218n,,NIST
,479.8742,,8.8e+04,3.9e-04,E,105462.7596,126295.73,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).12d,2[7/2]*,4,7,9,,T1164n,,NIST
,483.5970,,9.3e+04,4.2e-04,E,105462.7596,126135.36,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).11d,2[7/2]*,4,7,9,,T1164n,,NIST
,483.6697,,1.02e+05,5.97e-04,C,104102.0990,124771.59,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,2,3,5,,T1164n,,NIST
,487.6261,,7.8e+05,4.6e-03,D,104102.0990,124603.890,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7d,2[3/2]*,2,3,5,,T1218n,,NIST
,488.6290,,1.2e+05,5.5e-04,E,105462.7596,125922.47,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).10d,2[7/2]*,4,7,9,,T1164n,,NIST
,488.7947,,1.3e+06,4.7e-03,D,104102.0990,124554.874,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,1,3,3,,T1218n,,NIST
,489.4691,,1.8e+06,2.2e-03,D,104102.0990,124526.695,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,0,3,1,,T1218n,,NIST
,492.1034,,5.9e+04,3.0e-04,E,105617.2700,125932.53,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).10d,2[7/2]*,3,5,7,,T1164n,,NIST
