BOLSIG+ script file: glow-discharge/CR/1Torr_100V/Transport/input.300K.bolsig.dat
READCOLLISIONS
Ar
glow-discharge/nominal-crs/BSR_CRModel.txt
C1    Ar    Elastic                                             
C179  Ar(2p9)    Excitation    0.21 eV                          
C180  Ar(2p9)    Excitation    0.24 eV                          
C181  Ar(2p9)    Excitation    0.39 eV                          
C182  Ar(2p9)    Excitation    0.86 eV                          
C183  Ar(2p9)    Excitation    0.88 eV                          
C184  Ar(2p9)    Excitation    0.90 eV                          
C185  Ar(2p9)    Excitation    0.94 eV                          
C186  Ar(2p9)    Excitation    0.96 eV                          
C187  Ar(2p9)    Excitation    0.96 eV                          
C188  Ar(2p9)    Excitation    0.97 eV                          
C189  Ar(2p9)    Excitation    1.00 eV                          
C190  Ar(2p9)    Excitation    1.01 eV                          
C191  Ar(2p9)    Excitation    1.02 eV                          
C192  Ar(2p9)    Excitation    1.11 eV                          
C193  Ar(2p9)    Excitation    1.13 eV                          
C194  Ar(2p9)    Excitation    1.13 eV                          
C195  Ar(2p9)    Excitation    1.14 eV                          
C196  Ar(2p9)    Excitation    1.14 eV                          
C197  Ar(2p9)    Excitation    1.17 eV                          
C198  Ar(2p9)    Ionization    2.68 eV                          
Ar(2p8)
glow-discharge/nominal-crs/BSR_CRModel.txt
C199  Ar(2p8)    Excitation    0.049 eV                         
C200  Ar(2p8)    Excitation    0.072 eV                         
C201  Ar(2p8)    Excitation    0.17 eV                          
C202  Ar(2p8)    Excitation    0.17 eV                          
C203  Ar(2p8)    Excitation    0.19 eV                          
C204  Ar(2p8)    Excitation    0.21 eV                          
C205  Ar(2p8)    Excitation    0.37 eV                          
C206  Ar(2p8)    Excitation    0.84 eV                          
C207  Ar(2p8)    Excitation    0.85 eV                          
C208  Ar(2p8)    Excitation    0.87 eV                          
C209  Ar(2p8)    Excitation    0.92 eV                          
C210  Ar(2p8)    Excitation    0.94 eV                          
C211  Ar(2p8)    Excitation    0.94 eV                          
C212  Ar(2p8)    Excitation    0.95 eV                          
C213  Ar(2p8)    Excitation    0.97 eV                          
C214  Ar(2p8)    Excitation    0.98 eV                          
C215  Ar(2p8)    Excitation    1.00 eV                          
C216  Ar(2p8)    Excitation    1.08 eV                          
C217  Ar(2p8)    Excitation    1.10 eV                          
C218  Ar(2p8)    Excitation    1.11 eV                          
C219  Ar(2p8)    Excitation    1.12 eV                          
C220  Ar(2p8)    Excitation    1.12 eV                          
C221  Ar(2p8)    Excitation    1.15 eV                          
C222  Ar(2p8)    Ionization    2.66 eV                          
Ar(2p7)
glow-discharge/nominal-crs/BSR_CRModel.txt
C223  Ar(2p7)    Excitation    0.023 eV                         
C224  Ar(2p7)    Excitation    0.12 eV                          
C225  Ar(2p7)    Excitation    0.12 eV                          
C226  Ar(2p7)    Excitation    0.14 eV                          
C227  Ar(2p7)    Excitation    0.17 eV                          
C228  Ar(2p7)    Excitation    0.32 eV                          
C229  Ar(2p7)    Excitation    0.79 eV                          
C230  Ar(2p7)    Excitation    0.81 eV                          
C231  Ar(2p7)    Excitation    0.82 eV                          
C232  Ar(2p7)    Excitation    0.87 eV                          
C233  Ar(2p7)    Excitation    0.89 eV                          
C234  Ar(2p7)    Excitation    0.89 eV                          
C235  Ar(2p7)    Excitation    0.90 eV                          
C236  Ar(2p7)    Excitation    0.93 eV                          
C237  Ar(2p7)    Excitation    0.94 eV                          
C238  Ar(2p7)    Excitation    0.95 eV                          
C239  Ar(2p7)    Excitation    1.04 eV                          
C240  Ar(2p7)    Excitation    1.05 eV                          
C241  Ar(2p7)    Excitation    1.06 eV                          
C242  Ar(2p7)    Excitation    1.07 eV                          
C243  Ar(2p7)    Excitation    1.07 eV                          
C244  Ar(2p7)    Excitation    1.10 eV                          
C245  Ar(2p7)    Ionization    2.61 eV                          
Ar(2p6)
glow-discharge/nominal-crs/BSR_CRModel.txt
C246  Ar(2p6)    Excitation    0.097 eV                         
C247  Ar(2p6)    Excitation    0.098 eV                         
C248  Ar(2p6)    Excitation    0.12 eV                          
C249  Ar(2p6)    Excitation    0.14 eV                          
C250  Ar(2p6)    Excitation    0.29 eV                          
C251  Ar(2p6)    Excitation    0.77 eV                          
C252  Ar(2p6)    Excitation    0.78 eV                          
C253  Ar(2p6)    Excitation    0.80 eV                          
