(0.669001,1.761e+24)
(0.67367,1.762e+24)
(0.679006,1.761e+24)
(0.683675,1.761e+24)
(0.688344,1.76e+24)
(0.692346,1.759e+24)
(0.697015,1.758e+24)
(0.701017,1.756e+24)
(0.705686,1.754e+24)
(0.709688,1.752e+24) 
(0.71369,1.75e+24)
(0.718359,1.747e+24)
(0.723028,1.745e+24)
(0.728364,1.741e+24) 
(0.7337,1.739e+24)
(0.74037,1.736e+24)
(0.747707,1.733e+24)
(0.758379,1.732e+24)
(0.771052,1.733e+24)
(0.789061,1.736e+24)
(0.812406,1.743e+24)
(0.843755,1.755e+24) 
(0.886443,1.776e+24) 
(0.941137,1.806e+24)
(1.007837,1.846e+24)
(1.098549,1.903e+24)
(1.197932,1.968e+24)
(1.324662,2.055e+24)
(1.460063,2.149e+24)
(1.622811,2.265e+24)
(1.788227,2.384e+24) 
(1.968984,2.516e+24)
(2.159746,2.657e+24)
(2.351842,2.796e+24)
(2.545939,2.939e+24) 
(2.738702,3.081e+24) 
(2.930798,3.219e+24)
(3.114223,3.352e+24)
(3.328997,3.505e+24) 
(3.498415,3.622e+24)
(3.694513,3.756e+24)
(3.899282,3.894e+24) 
(4.084041,4.014e+24)
(4.293479,4.149e+24)
(4.49558,4.274e+24)
(4.701016,4.398e+24) 
(4.927129,4.532e+24) 
(5.161913,4.668e+24)
(5.397364,4.798e+24)
(5.655493,4.938e+24) 
(5.931631,5.086e+24)
(6.213772,5.231e+24) 
(6.518591,5.384e+24)
(6.85009,5.547e+24)
(7.19026,5.71e+24)
(7.56378,5.884e+24)
(7.96398,6.065e+24)
(8.38419,6.252e+24)
(8.84442,6.45e+24) 
(9.32466,6.655e+24) 
(9.85159,6.872e+24)
(10.41854,7.102e+24)
(11.01884,7.34e+24) 
(11.66583,7.592e+24)
(12.37285,7.86e+24)
(13.13323,8.144e+24)
(13.95364,8.444e+24) 
(14.83408,8.762e+24)
(15.79456,9.104e+24)
(16.83508,9.469e+24)
(17.96231,9.86e+24) 
(19.19626,1.028e+25)
(20.53026,1.073e+25)
(21.99099,1.122e+25)
(23.58512,1.176e+25)
(25.35934,1.235e+25) 
(27.2803,1.298e+25)
(29.35467,1.367e+25)
(31.71585,1.444e+25)
(34.27713,1.529e+25)
(37.11855,1.622e+25)
(40.25345,1.725e+25)
(43.74853,1.84e+25) 
